filename,genre,mfcc_1_mean,mfcc_1_stddev,mfcc_1_var,mfcc_1_min,mfcc_1_max,mfcc_2_mean,mfcc_2_stddev,mfcc_2_var,mfcc_2_min,mfcc_2_max,mfcc_3_mean,mfcc_3_stddev,mfcc_3_var,mfcc_3_min,mfcc_3_max,mfcc_4_mean,mfcc_4_stddev,mfcc_4_var,mfcc_4_min,mfcc_4_max,mfcc_5_mean,mfcc_5_stddev,mfcc_5_var,mfcc_5_min,mfcc_5_max,mfcc_6_mean,mfcc_6_stddev,mfcc_6_var,mfcc_6_min,mfcc_6_max,mfcc_7_mean,mfcc_7_stddev,mfcc_7_var,mfcc_7_min,mfcc_7_max,mfcc_8_mean,mfcc_8_stddev,mfcc_8_var,mfcc_8_min,mfcc_8_max,mfcc_9_mean,mfcc_9_stddev,mfcc_9_var,mfcc_9_min,mfcc_9_max,mfcc_10_mean,mfcc_10_stddev,mfcc_10_var,mfcc_10_min,mfcc_10_max,mfcc_11_mean,mfcc_11_stddev,mfcc_11_var,mfcc_11_min,mfcc_11_max,mfcc_12_mean,mfcc_12_stddev,mfcc_12_var,mfcc_12_min,mfcc_12_max,mfcc_13_mean,mfcc_13_stddev,mfcc_13_var,mfcc_13_min,mfcc_13_max
blues.00093.wav,blues,-412.6523,51.255424,2627.1187,-508.23926,-101.182816,172.86469,27.745024,769.7864,21.572266,239.29446,36.008736,18.80861,353.76385,-45.62626,76.42728,13.980166,17.64442,311.32556,-43.15547,61.84794,25.617085,16.075495,258.4215,-16.323368,61.115364,18.088984,9.700042,94.090805,-5.6290007,49.441124,8.260927,7.0273633,49.383835,-21.023342,29.63677,10.598883,6.5986814,43.542595,-7.8654556,45.5888,6.0521746,6.737584,45.395042,-27.218075,26.018703,3.3797553,6.825784,46.59133,-31.049433,29.639729,3.9586437,7.5348177,56.77348,-28.00053,25.716143,1.4685993,7.579683,57.451595,-21.061825,26.40604,-6.1197214,6.77406,45.887886,-31.796356,15.006501
blues.00087.wav,blues,-226.29883,57.209484,3272.925,-403.798,-68.25984,131.51598,29.400684,864.4002,-12.831902,214.2135,4.887001,22.980385,528.0981,-75.36751,87.076004,47.06489,19.666498,386.77112,-7.596234,111.43157,1.9746903,16.997156,288.90332,-69.62528,60.705124,25.77057,13.376152,178.92143,-15.344516,70.234535,-9.601614,16.345604,267.17874,-54.570206,51.14705,16.438261,12.123071,146.96884,-21.490726,61.64473,-10.48416,13.691208,187.44917,-56.344177,30.937744,1.8963473,11.0844,122.86392,-31.186852,36.272415,-5.3050504,11.217752,125.837975,-41.738323,28.266254,-0.18642482,11.361893,129.0926,-38.350037,33.57029,-6.8709593,9.393979,88.24685,-40.62644,25.841183
blues.00050.wav,blues,-156.22824,51.262924,2627.8875,-319.37503,-6.27858,107.98413,18.856144,355.55417,24.061382,163.60449,-23.577686,19.300613,372.51364,-97.633194,22.847008,56.958847,14.805706,219.20894,8.068933,97.472534,0.8500766,12.493201,156.08008,-51.81036,50.785103,34.62146,9.528265,90.787834,3.725427,61.25615,-10.691919,10.547537,111.250534,-62.457554,17.131582,20.05444,8.237355,67.85402,-8.133428,43.845516,-11.277046,8.599519,73.95173,-34.81727,16.417282,14.149407,8.54189,72.96389,-14.31806,41.06594,-10.47733,7.4422126,55.386528,-31.794247,16.183249,11.656929,7.969492,63.5128,-17.00218,36.14698,-9.983499,7.439678,55.34881,-33.572388,20.449856
blues.00044.wav,blues,-181.68294,30.144003,908.6609,-260.07428,-81.66967,88.642426,15.955335,254.5727,43.19993,134.36765,-6.6772933,17.681604,312.63916,-57.07646,40.94899,64.81763,9.8986225,97.982735,29.986818,92.94992,-5.219779,8.265962,68.326126,-34.13118,19.633245,43.621845,7.3024187,53.32532,15.412065,68.57872,-7.801367,8.18866,67.05415,-31.532188,25.063807,28.464228,8.442291,71.272285,5.78654,69.130684,-13.142643,9.777577,95.60102,-40.054398,20.529408,8.2787695,10.251097,105.08499,-15.351806,45.91105,-20.412935,9.206055,84.75145,-45.42874,11.7590475,10.897171,10.660331,113.642654,-25.490723,44.006577,-3.9621444,10.55265,111.35843,-37.365593,28.991722
blues.00078.wav,blues,-76.83091,32.161125,1034.338,-188.18306,-1.0727243,101.32361,14.528952,211.09044,59.975555,140.3758,-32.869083,13.270404,176.10362,-76.67885,5.614814,41.1201,11.032079,121.706764,-6.401105,82.11628,-13.511132,11.550903,133.42337,-43.467022,22.748363,31.041473,8.105015,65.69127,-0.38999647,61.12645,-21.613955,9.013767,81.248,-58.257477,2.6763864,23.973837,7.5277495,56.66701,-5.090999,47.048676,-15.815249,7.2855105,53.078663,-40.304817,11.803503,15.513238,6.7593813,45.689236,-5.805548,37.481674,-14.206478,7.7102737,59.448322,-35.971725,13.431991,12.1031275,7.3708143,54.328903,-10.837296,35.051914,-12.984254,7.1788774,51.536278,-34.01438,8.738445
blues.00079.wav,blues,-75.059204,34.1676,1167.4247,-183.02141,-1.1567189,94.09478,14.230238,202.49968,37.9719,133.15448,-23.872816,13.69725,187.61467,-63.064278,22.881603,45.24623,9.261864,85.78211,19.16912,97.97609,-9.916428,9.608828,92.329575,-38.79315,20.237514,31.999468,7.5968523,57.712166,-0.44370356,57.895157,-17.399385,9.306073,86.603,-43.26676,14.436474,28.862158,8.099063,65.59482,2.2824273,55.220345,-9.171966,8.838328,78.11604,-30.91841,26.12394,15.382411,7.880267,62.098614,-7.707921,39.97451,-13.971644,6.600488,43.566444,-37.581203,6.260721,15.1585245,6.2794733,39.431786,-5.5411935,36.351524,-14.758206,7.5445485,56.92021,-38.16578,12.500953
blues.00045.wav,blues,-234.45079,28.02324,785.3019,-323.12912,-157.8936,91.63984,15.799168,249.6137,45.904716,135.35768,14.987172,13.000749,169.01947,-28.89647,53.744392,80.66277,7.569323,57.29465,54.848946,103.0298,5.250503,6.991826,48.88563,-18.468418,27.634087,39.074627,7.572548,57.343483,15.09703,60.4617,-4.7916408,7.536168,56.79383,-31.299072,17.853,25.733667,6.851659,46.94523,-1.35144,43.455765,-12.122879,7.199222,51.828796,-39.702408,9.431439,2.1763794,7.006695,49.093773,-24.211472,22.760963,-19.143345,7.247842,52.53121,-38.040936,15.893108,5.9685187,7.1556497,51.20332,-17.677227,30.323763,-1.2877778,8.0706835,65.135925,-24.377155,25.868202
blues.00051.wav,blues,-128.47104,33.09109,1095.0203,-213.033,-33.20865,115.79563,18.9483,359.03806,45.207886,170.97873,-34.280884,15.184872,230.58034,-78.90951,31.719387,64.86665,8.889136,79.01675,30.568043,100.46623,-6.0337195,10.091402,101.83639,-39.781494,26.034718,14.618913,11.326967,128.30019,-15.317318,45.947197,-15.329314,10.681802,114.10088,-42.760494,14.017975,18.216604,9.468132,89.645515,-8.571428,42.98404,-9.000049,8.950239,80.10677,-32.98216,29.797783,20.811367,9.111176,83.01351,-3.7246935,46.9823,-5.6425366,9.14999,83.72232,-36.347282,27.344841,11.622667,10.537572,111.04042,-22.581905,51.772453,-16.446339,8.23949,67.88918,-49.4713,11.723002
blues.00086.wav,blues,-286.56006,85.78698,7359.4062,-482.50803,-69.81183,144.79619,41.7313,1741.5016,-23.248383,229.27826,11.668218,27.906542,778.7751,-70.20557,112.73343,36.215405,16.99708,288.90073,-12.51306,99.55269,13.033463,18.152147,329.50043,-49.82488,52.37921,20.496635,14.238308,202.72942,-42.33744,70.221924,-5.038536,14.413452,207.74759,-53.11798,29.75549,11.043886,10.8740835,118.2457,-20.943972,52.291073,-8.047514,12.768734,163.04056,-56.461563,24.888634,8.736811,9.417532,88.6899,-23.452888,33.55195,0.8815608,10.648307,113.38643,-35.48452,38.912743,3.1230528,9.629391,92.72517,-32.631123,33.706127,-0.3987801,9.312119,86.715546,-26.08482,31.225685
blues.00092.wav,blues,-403.26788,84.82036,7194.4937,-549.3854,-190.15778,133.38196,32.17497,1035.2285,-31.296175,212.70609,31.44675,34.737305,1206.6804,-76.114136,98.969925,42.26499,17.90509,320.59225,-13.03146,109.409225,31.22796,15.752022,248.1262,-38.66695,71.97659,22.869627,13.377596,178.96007,-29.50904,75.24788,5.8649526,14.118653,199.33638,-47.40648,39.69489,8.856558,12.679829,160.77806,-26.217064,63.35784,-4.007212,14.161358,200.54405,-57.781387,31.560478,3.3323545,10.406484,108.29491,-36.344627,47.044724,-0.7862534,10.119978,102.41395,-36.103317,33.705193,-0.18249734,9.71213,94.32547,-32.857086,36.477634,1.8657912,9.997184,99.94369,-30.700516,38.25539
